stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone
0001RLW,Railways,-1.290884,36.828242,0.0,,0
0002KOJ,Koja,-1.28123,36.822596,1.0,,0
0003NGR,Ngara,-1.274395,36.823806,1.0,,0
0004ODN,Odeon,-1.282769,36.825032,1.0,,0
0005AMB,Kencom/Ambassadeur,-1.285963,36.826048,1.0,,0
0006BSS,Bus Station,-1.287191,36.828881,1.0,,0
0007COM,Commercial,-1.284282,36.826188,1.0,,0
0008MUT,Muthurwa,-1.288049,36.833947,1.0,,0
0010OTC,OTC,-1.284947,36.830994,1.0,,0
0011TUS,Tusker/Ronald Ngala,-1.285346,36.828574,1.0,,0
0013ALS,Allsops,-1.244951,36.867888,1.0,,3
0014KRA,Kariobangi Round About,-1.262408,36.879051,1.0,,0
010044G,44 Githurai,-1.195514202,36.9026953,,,3
0100AAA,Sahala,-1.206232309,36.79068089,,,2
0100AAE,Aga Khan Hospital Entrance,-1.26177,36.82218,,,0
0100ACP,PCEA,-1.184212893,36.90751523,,,3
0100AEI,Nyari Police,-1.225512028,36.78804159,,,2
0100AEL,Membley Stage,-1.160296798,36.92236662,,,3
0100AKA,Chamoka,-1.218550569,36.77443743,,,2
0100AL2,Lane 26,-1.202838153,36.7692849,,,2
0100AMY,Kwa Nyama,-1.204494238,36.78601384,,,2
0100ANJ,Kwa Kiwanja,-1.171676248,36.91650867,,,3
0100A.P,A.P.,-1.178289056,36.91195965,,,3
0100APC,PCEA,-1.188633174,36.73722178,,,2
0100ARG,Arya Girls' Secondary School,-1.26081,36.81997,,,0
0100ARI,Kwa Daktari,-1.185328692,36.73338085,,,2
0100ASD,Ambassadors,-1.19794,36.75537,,,2
0100ASW,Car Wash,-1.204816103,36.78255916,,,2
0100AWA,Wataalam,-1.149612397,36.94740772,,,3
0100BKH,Bypass Stage Kiambu,-1.215780973,36.83506072,,,3
0100BKK,Kabuku,-1.154729247,36.67456269,,,2
0100BLD,God's Ability,-1.202671891,36.76871896,,,2
0100CAR,Kwa Machiri,-1.17373082,36.71296388,,,2
0100CBR,Cooperative Bank Ruaka,-1.20678,36.78464,,,2
0100CCD,Coca Cola Depot,-1.25983,36.8176,,,0
0100CHE,Commission Of Higher Education,-1.227579,36.797994,,,2
0100CHL,Chantilly School,-1.181032,36.762044,,,2
0100CTC,Christco,-1.19626,36.75305,,,2
0100CTR,Doctor's Park,-1.261465877,36.82164699,,,0
0100DPA,Delta Petrol Station Ruaka/Border,-1.208925247,36.78782701,,,2
0100EIE,Mfereji,-1.203090316,36.77023709,,,2
0100EIL,Milele,-1.200815767,36.76228434,,,2
0100EIO,Sovereign,-1.169498205,36.70019388,,,2
0100ESN,Dispensary,-1.190204948,36.73913687,,,2
0100GAO,Kahigo,-1.203959316,36.77340478,,,2
0100GUG,Guango,-1.195629,36.780871,,,2
0100GVS,Green Valley School,-1.124978,36.677156,,,2
0100HYD,Shady,-1.19387573,36.74975574,,,2
0100IKW,Kwa Viti,-1.186262101,36.73443764,,,2
0100ILL,Milele,-1.204420656,36.77496046,,,2
0100INT,Nish Raaj Estate,-1.257623434,36.81249261,,,0
0100ITS,Gwaiti,-1.18686676,36.73514843,,,2
0100JAK,Jakai,-1.219687,36.77222,,,2
0100JO.,O.J,-1.152970523,36.92023158,,,3
0100JOA,Kianjogu,-1.183204383,36.73027486,,,2
0100JYL,Joyland,-1.204896569,36.77661538,,,2
0100KCK,Kenchic,-1.132722,36.69801,,,2
0100KHR,Kahawa Railways Roundabout,-1.186098,36.906817,,,3
0100KMU,Kwa Sukuma,-1.179068416,36.72405213,,,2
0100KNA,Kona,-1.221391,36.779214,,,2
0100KNE,Kwa Njenga,-1.220363742,36.77845538,,,2
0100KSS,Kwa Shule/Seth Home Of Love Children's Home/Muchatha Dispensary,-1.189608,36.773253,,,2
0100KTC,Quickmart,-1.206720471,36.78343892,,,2
0100KWH,Kwa Chief,-1.216485232,36.82175428,,,2
0100LDL,Redhill,-1.169991821,36.7014733,,,2
0100LHH,Jamhuri School,-1.27250433,36.82257503,,,0
0100LIK,Likoni,-1.179095,36.760938,,,2
0100LMC,Limuru Catering,-1.124471,36.679689,,,2
0100LPS,Limuru Post Office,-1.118464,36.643126,,,2
0100LSM,Life Sanctuary/Muchatha,-1.191495,36.775223,,,2
0100..M,K.M.,-1.167726517,36.91900849,,,3
0100MCO,Stima Sacco,-1.272774106,36.8208611,,,0
0100MCY,Mothers Mercys/GD,-1.179957,36.725401,,,2
0100MFB,Mifereji/God's Ability,-1.20213,36.76693,,,2
0100MIS,Mary Immaculate Secondary School/Muchatha,-1.190679,36.774297,,,2
0100MOM,Mombasa,-1.17786,36.760345,,,2
0100MOU,Mugumo,-1.209636211,36.79986477,,,2
0100MRB,Maramba Tea Factory,-1.134476,36.703498,,,2
0100MRC,Movers/Rosslyn Centre,-1.210947633,36.79020882,,,2
0100NAM,National Oil/Muchatha,-1.193428,36.777892,,,2
0100NCE,Container,-1.20452258,36.77553982,,,2
0100NDT,Ndenderu Junction,-1.19233,36.7437,,,2
0100NJT,Kwa Njoki/Thimbigwa Ack,-1.183852,36.763684,,,2
0100NKD,Ndenderu Kwa Maduka,-1.19449,36.75061,,,2
0100NMT,New Muthaiga,-1.228621,36.798616,,,2
0100NRP,Round About Eastern Bypass,-1.155235,36.926119,,,3
0100NSO,Movers,-1.210058659,36.7891708,,,2
0100ONO,Ngomongo,-1.202822059,36.89014524,,,3
0100OOA,Kwa Soko,-1.149789423,36.94882929,,,3
0100OTN,Hilton,-1.150637001,36.94259048,,,3
0100OTS,Posta,-1.170669078,36.70802593,,,2
0100PEF,Pefa/All Nations/Muchatha,-1.197129,36.782933,,,2
0100PNA,Amani Plaza,-1.259625882,36.81713551,,,0
0100POA,Pa Mutoori,-1.202194422,36.76717132,,,2
0100POW,Power,-1.21731,36.778253,,,2
0100PSA,La Philla Carwash,-1.190634102,36.90608829,,,3
0100RBJ,Ruaka/Banana Junction/Tuskys Supermarket,-1.20722,36.78602,,,2
0100RCN,Ruaka Catholic Church Entrance,-1.20614,36.78059,,,2
0100REE,PCEA Ndenderu,-1.195537216,36.75203025,,,2
0100RES,Runda Estate Entrance,-1.21873,36.80177,,,2
0100RGH,Jamhuri High School,-1.272203922,36.82239532,,,0
0100RJI,Ruiru Road Junction,-1.152105331,36.9199419,,,3
0100RKH,Runda/Karura Carwash,-1.22091,36.80144,,,2
0100RRD,Ruaka Redeemed Gospel Church,-1.20651,36.78206,,,2
0100RRJ,Redhill Road Junction,-1.23398,36.80339,,,2
0100RRP,Rosslyn Road/Karura Community Chapel,-1.216397882,36.79927468,,,2
0100RUD,Runda Road,-1.215553,36.814957,,,2
0100RUI,Marurui/JuaKali,-1.211281747,36.87443823,,,3
0100RYA,Rumenye,-1.199644804,36.75815105,,,2
0100SAR,Car Wash,-1.217005616,36.77721083,,,2
0100SHT,Sacred Heart,-1.186278,36.767456,,,2
0100SKU,Kibutu Stage,-1.188273758,36.77131802,,,2
0100SLG,Slaughter/Bypass,-1.20578,36.78005,,,2
0100SNW,Good News/Nyari Gate 2,-1.225479841,36.79151773,,,2
0100S/R,Rosslyn Road/Riviera,-1.217128962,36.80043072,,,2
0100STI,Site,-1.178033084,36.7224589,,,2
0100T1I,Barrier 1/Nyari Gate 1,-1.226568818,36.79569393,,,2
0100TCP,Total/City Park,-1.25943,36.82673,,,0
0100TIG,Tigoni,-1.126686,36.671788,,,2
0100TOR,Metro,-1.215183198,36.85956538,,,3
0100TPS,Post,-1.149687499,36.94552481,,,3
0100TTM,Total/Muchatha,-1.193078,36.777371,,,2
0100UBP,Bumps,-1.206464499,36.78183764,,,2
0100UEA,Delta Petrol Station Ruaka/Border,-1.208792657,36.78792626,,,2
0100UMA,Munata,-1.220374471,36.76839173,,,2
0100UMT,Makutano,-1.192345351,36.74523085,,,2
0100VDA,Victory Gospel/Sda,-1.19432,36.7429,,,2
0100VEV,Velvet Lounge/Kigwaru,-1.202782,36.785553,,,2
0100VIN,Victory Inn,-1.181773,36.762476,,,2
0100VLU,6th Parklands Avenue/Regal House/Kobil,-1.257893175,36.8269524,,,0
0100WSI,Nyari West,-1.225469112,36.78594947,,,2
0100XAM,Maxx,-1.182002753,36.72858506,,,2
0101AGA,Aga Khan Academy,-1.26628,36.82331,,,0
0101AKE,Aga Khan Entrance,-1.26178,36.82224,,,0
0101AKH,Aga Khan Hospital Junction/3rd Parklands Ave,-1.26288,36.8249,,,0
0101AKN,Kwa Nyama,-1.204490429,36.78601921,,,2
0101ALM,Amani Plaza/Almond Court,-1.25962,36.81717,,,0
0101AME,Ambassadors Entrance,-1.19804,36.75538,,,2
0101ARA,Garage,-1.222203738,36.78044558,,,2
0101ARC,Car Wash,-1.204839116,36.78251624,,,2
0101ARR,Nish Raaj/Mulberry,-1.257580519,36.81246042,,,0
0101ARY,Arya Girls' Secondary School,-1.26085,36.82007,,,0
0101BKH,Bypass Stage Kiambu,-1.215448,36.83521,,,3
0101BLU,Blue Kiosk Stage,-1.154688,36.675681,,,2
0101CAV,Church Of Acts/Velvet Lounge,-1.203525,36.785397,,,2
0101CEF,Kwa Chief,-1.216447681,36.8218857,,,2
0101CHC,Christco Church,-1.19628,36.75294,,,2
0101CHF,Sub Chief,-1.219799,36.778197,,,2
0101CPK,City Park,-1.26057,36.82615,,,0
0101DGG,Ridgesways Girls,-1.215046,36.864683,,,3
0101DPB,Delta Petrol Station/Border,-1.20918,36.7882,,,2
0101ETA,Marrieta,-1.143779,36.661749,,,2
0101FRK,Furaha/Kag Ndenderu/Catholic,-1.1954,36.75175,,,2
0101GOG,Guango,-1.195673,36.780783,,,2
0101GRJ,Gacharage Junction,-1.20041,36.76058,,,2
0101GVS,Green Valley School,-1.125007,36.677194,,,2
0101HMO,Chamoka,-1.218749052,36.77409947,,,2
0101HUS,SDA Church,-1.220481759,36.76972747,,,2
0101HWO,Mwisho Road,-1.222670442,36.78127706,,,2
0101IAI,Gwaiti,-1.18060112,36.7263186,,,2
0101IGA,Kahigo,-1.203356981,36.77130997,,,2
0101ION,Junction To Limuru Town,-1.133245,36.643564,,,2
0101IRR,River,-1.221822864,36.77986622,,,2
0101JAK,Jakai,-1.219745,36.772222,,,2
